state_ut,short_term_training_stt___enrolled,short_term_training_stt___trained,short_term_training_stt___certified,short_term_training_stt___reported_placed,short_term_training_stt___placement_pct_reported_placed_on_certified,special_projects_spl___enrolled,special_projects_spl___trained,special_projects_spl___certified,special_projects_spl___reported_placed,special_projects_spl___placement_pct_reported_placed_on_certified,recognition_of_prior_learning_rpl___enrolled,recognition_of_prior_learning_rpl___oriented,recognition_of_prior_learning_rpl___certified
Andaman and Nicobar Islands,3320,2888,2052,124.0,6.0,,,,,0.0,661.0,660.0,380.0
Andhra Pradesh,190755,171796,143243,88735.0,61.9,8382.0,7951.0,6122.0,4054.0,66.2,141979.0,140349.0,119689.0
Arunachal Pradesh,32307,29599,24409,9900.0,40.6,7495.0,7188.0,4199.0,1708.0,40.7,46016.0,45796.0,34692.0
Assam,162165,152483,118293,57300.0,48.4,20611.0,19703.0,10600.0,4449.0,42.0,521854.0,512479.0,377652.0
Bihar,302481,278094,219063,113218.0,51.7,19014.0,18137.0,11767.0,1366.0,11.6,245597.0,241826.0,202790.0
Chandigarh,14585,13081,10440,5588.0,53.5,1269.0,1035.0,798.0,366.0,45.9,7898.0,7538.0,6396.0
Chhattisgarh,100628,90270,66773,26589.0,39.8,1882.0,1651.0,850.0,,0.0,49748.0,48317.0,33641.0
Delhi,169544,155510,132534,62602.0,47.2,26888.0,24537.0,18010.0,10391.0,57.7,221737.0,216106.0,177669.0
Goa,3792,3265,2228,737.0,33.1,353.0,323.0,184.0,155.0,84.2,6267.0,5874.0,4911.0
Gujarat,164026,146215,117606,60198.0,51.2,10655.0,10402.0,7966.0,5257.0,66.0,213457.0,209273.0,176379.0
Haryana,322008,299161,252168,147921.0,58.7,17359.0,15593.0,10740.0,2637.0,24.6,253598.0,246405.0,206037.0
Himachal Pradesh,75740,66975,55505,22275.0,40.1,8572.0,7881.0,6113.0,2188.0,35.8,50342.0,49882.0,41520.0
Jammu and Kashmir,136734,121440,103803,50753.0,48.9,19298.0,18605.0,9900.0,1172.0,11.8,154740.0,151124.0,129969.0
Jharkhand,96988,86818,64446,25957.0,40.3,6887.0,6430.0,3592.0,986.0,27.4,151720.0,149564.0,128471.0
Karnataka,170271,147233,120212,53057.0,44.1,15257.0,14137.0,10501.0,7176.0,68.3,284003.0,276467.0,226555.0
Kerala,90198,83029,63808,24200.0,37.9,4130.0,3853.0,1920.0,156.0,8.1,163127.0,151584.0,121336.0
Ladakh,2682,2173,1539,856.0,55.6,845.0,732.0,331.0,180.0,54.4,93.0,93.0,74.0
Lakshadweep,270,270,79,,0.0,,,,,0.0,,,
Madhya Pradesh,449101,413267,337834,185971.0,55.0,30422.0,29883.0,18993.0,11292.0,59.5,292856.0,286481.0,230626.0
Maharashtra,260662,236069,184242,68257.0,37.0,34714.0,32078.0,14450.0,1401.0,9.7,848398.0,837237.0,687735.0
Manipur,47817,45729,37281,15043.0,40.4,2198.0,2136.0,1175.0,104.0,8.9,45099.0,40811.0,33999.0
Meghalaya,30952,29471,23125,12199.0,52.8,643.0,623.0,256.0,199.0,77.7,15666.0,15389.0,13541.0
Mizoram,24381,22301,17178,9055.0,52.7,3069.0,2827.0,1241.0,418.0,33.7,5701.0,5701.0,4065.0
Nagaland,20927,20169,15359,5803.0,37.8,3652.0,3586.0,2350.0,2.0,0.1,17262.0,16905.0,13965.0
Odisha,170409,145401,116226,59858.0,51.5,6445.0,5552.0,3749.0,740.0,19.7,343109.0,334902.0,266161.0
Puducherry,16366,15638,13734,9150.0,66.6,712.0,709.0,460.0,382.0,83.0,6742.0,6619.0,5470.0
Punjab,253141,233985,202476,114966.0,56.8,12246.0,11324.0,8390.0,3036.0,36.2,104899.0,102345.0,78533.0
Rajasthan,386823,365297,313328,168821.0,53.9,10920.0,10155.0,6599.0,1723.0,26.1,591817.0,583481.0,531446.0
Sikkim,11211,10123,8148,3648.0,44.8,798.0,698.0,423.0,116.0,27.4,1900.0,1900.0,1657.0
Tamil Nadu,257015,235445,194831,117178.0,60.1,21695.0,19521.0,13409.0,9754.0,72.7,340473.0,334786.0,283784.0
Telangana,193066,174347,146510,89537.0,61.1,5079.0,4834.0,3565.0,2461.0,69.0,135361.0,132681.0,109473.0
Dadra and Nagar Haveli and Daman and Diu,5432,5324,4321,2610.0,60.4,,,,,0.0,4474.0,4291.0,3905.0
Tripura,39741,37842,30126,10464.0,34.7,4228.0,4145.0,3494.0,2147.0,61.4,83829.0,81835.0,58590.0
Uttar Pradesh,790340,734275,597018,299634.0,50.2,43099.0,37367.0,25009.0,12651.0,50.6,913895.0,896413.0,758465.0
Uttarakhand,123958,118394,95133,50954.0,53.6,5293.0,5085.0,2843.0,126.0,4.4,65433.0,63780.0,51441.0
West Bengal,260254,241552,189884,100677.0,53.0,7035.0,6797.0,4204.0,686.0,16.3,208649.0,205694.0,178350.0
